Word,Details,Sources,GregMat_Details,Barron_Details,Kaplan_Details,Magoosh_Details,WordSmart_Details,Source_Files
conceal,"Kaplan 900 + High Frequency GRE: Hide, secret",Kaplan 900 + High Frequency GRE,,,"Hide, secret",,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf
concede,"Magoosh GRE 1000 Words: (verb): acknowledge defeat I concede. You win! ; (verb): admit (to a wrongdoing) After a long, stern lecture from her father, Olivia conceded to having broken the window. ; (verb): give over; surrender or relinquish to the physical control of another The Spanish were forced to concede much of the territory they had previously conquered.",Magoosh GRE 1000 Words,,,,"(verb): acknowledge defeat I concede. You win! ; (verb): admit (to a wrongdoing) After a long, stern lecture from her father, Olivia conceded to having broken the window. ; (verb): give over; surrender or relinquish to the physical control of another The Spanish were forced to concede much of the territory they had previously conquered.",,magoosh-gre-1000-words_oct01.pdf
conciliate,"Kaplan 900 + High Frequency GRE: Stop from being angry, pacify | Magoosh GRE 1000 Words: (verb): to make peace with His opponents believed his gesture to be conciliatory, yet as soon as they put down their weapons, he unsheathed a hidden sword.",Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words,,,"Stop from being angry, pacify","(verb): to make peace with His opponents believed his gesture to be conciliatory, yet as soon as they put down their weapons, he unsheathed a hidden sword.",,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
conciliatory,GregMat Vocab: intended to appease or calm someone down | WordSmart I Complete 850 Words: Pronunciation: kun-SIL-ee-uh- tor-ee; English: attempting to resolve a dispute through goodwill; Bengali: বমটমানটর ইচু্ছক / সমনঝাতাপ্রিণ; Example: He took a conciliatory approach to end the conflict.,GregMat Vocab; WordSmart I Complete 850 Words,intended to appease or calm someone down,,,,Pronunciation: kun-SIL-ee-uh- tor-ee; English: attempting to resolve a dispute through goodwill; Bengali: বমটমানটর ইচু্ছক / সমনঝাতাপ্রিণ; Example: He took a conciliatory approach to end the conflict.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf
concise,WordSmart I Complete 850 Words: Pronunciation: kun-SYS; English: succinct; Bengali: সংবকপ্ষ্ত / সারগভ ে; Example: Please write a concise report of the meeting.,WordSmart I Complete 850 Words,,,,,Pronunciation: kun-SYS; English: succinct; Bengali: সংবকপ্ষ্ত / সারগভ ে; Example: Please write a concise report of the meeting.,WordSmart1_Complete_850Words.pdf
conclusive,GregMat Vocab: without doubt,GregMat Vocab,without doubt,,,,,GregMat Vocab.pdf
concoct,Barron's 1100 - First 20 Weeks: devise,Barron's 1100 - First 20 Weeks,,devise,,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
concomitant,"Kaplan 900 + High Frequency GRE: accompanying, attending, going along with | Magoosh GRE 1000 Words: (adjective): describing an event or situation that happens at the same time as or in connection with another Concomitant with his desire for nature was a desire for the culture and energy of a big city.",Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words,,,"accompanying, attending, going along with",(adjective): describing an event or situation that happens at the same time as or in connection with another Concomitant with his desire for nature was a desire for the culture and energy of a big city.,,ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
concord,WordSmart I Complete 850 Words: Pronunciation: KON-kord; English: agreement; Bengali: সম্প্রীবত / ঐকয; Example: The two nations lived in concord for decades.,WordSmart I Complete 850 Words,,,,,Pronunciation: KON-kord; English: agreement; Bengali: সম্প্রীবত / ঐকয; Example: The two nations lived in concord for decades.,WordSmart1_Complete_850Words.pdf
concur,Barron's 1100 - First 20 Weeks: agree,Barron's 1100 - First 20 Weeks,,agree,,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
concurrent,WordSmart I Complete 850 Words: Pronunciation: kun-KUR-unt; English: happening at the same time; Bengali: একই সমনয ঘটনে / সমসামবযক; Example: Two concurrent events were held in the same building.,WordSmart I Complete 850 Words,,,,,Pronunciation: kun-KUR-unt; English: happening at the same time; Bengali: একই সমনয ঘটনে / সমসামবযক; Example: Two concurrent events were held in the same building.,WordSmart1_Complete_850Words.pdf
condescend,WordSmart I Complete 850 Words: Pronunciation: kon-dih-SEND; English: to stoop down to someone's level; Bengali: কৃপা কনর নামা / বননচ নামা; Example: He condescended to explain the basics to the new employee.,WordSmart I Complete 850 Words,,,,,Pronunciation: kon-dih-SEND; English: to stoop down to someone's level; Bengali: কৃপা কনর নামা / বননচ নামা; Example: He condescended to explain the basics to the new employee.,WordSmart1_Complete_850Words.pdf
condolence,Barron's 1100 - First 20 Weeks: expression of sympathy,Barron's 1100 - First 20 Weeks,,expression of sympathy,,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
condone,"GregMat Vocab: forgive, excuse, or overlook | WordSmart I Complete 850 Words: Pronunciation: kun-DOHN; English: to permit to happen; Bengali: ছমনন ছনওযা / উনপকা্ষ করা; Example: The school does not condone bullying.",GregMat Vocab; WordSmart I Complete 850 Words,"forgive, excuse, or overlook",,,,Pronunciation: kun-DOHN; English: to permit to happen; Bengali: ছমনন ছনওযা / উনপকা্ষ করা; Example: The school does not condone bullying.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf
conducive,GregMat Vocab: helping to bring about or promote a particular outcome | Magoosh GRE 1000 Words: (adjective): making a situation or outcome more likely to happen Studying in a quiet room is conducive to learning; studying in a noisy environment makes learning more difficult. | WordSmart I Complete 850 Words: Pronunciation: kun-DOO-siv; English: promoting; Bengali: সহাযক / অনুকূল; Example: A quiet room is conducive to studying.,GregMat Vocab; Magoosh GRE 1000 Words; WordSmart I Complete 850 Words,helping to bring about or promote a particular outcome,,,(adjective): making a situation or outcome more likely to happen Studying in a quiet room is conducive to learning; studying in a noisy environment makes learning more difficult.,Pronunciation: kun-DOO-siv; English: promoting; Bengali: সহাযক / অনুকূল; Example: A quiet room is conducive to studying.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf; magoosh-gre-1000-words_oct01.pdf
confidant(e),Barron's 1100 - First 20 Weeks: person you tell your secrets to,Barron's 1100 - First 20 Weeks,,person you tell your secrets to,,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
conflagration,"GregMat Vocab: a large, destructive fire | Kaplan 900 + High Frequency GRE: Great fire | Magoosh GRE 1000 Words: (noun): a very intense and uncontrolled fire In the summer months, conflagrations are not uncommon in the southwest, do to the heat and lack of rain.",GregMat Vocab; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words,"a large, destructive fire",,Great fire,"(noun): a very intense and uncontrolled fire In the summer months, conflagrations are not uncommon in the southwest, do to the heat and lack of rain.",,GregMat Vocab.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
conflate,"Magoosh GRE 1000 Words: (verb): mix together different elements or concepts In her recent book, the author conflates several genres--the detective story, the teen thriller, and the vampire romance--to create a memorable read.",Magoosh GRE 1000 Words,,,,"(verb): mix together different elements or concepts In her recent book, the author conflates several genres--the detective story, the teen thriller, and the vampire romance--to create a memorable read.",,magoosh-gre-1000-words_oct01.pdf
confluence,WordSmart I Complete 850 Words: Pronunciation: KON-floo-unce; English: the place where the river begins to flow together; Bengali: নেীর বমলনস্থল / একত্র হওযার স্থান; Example: The town is located at the confluence of two rivers.,WordSmart I Complete 850 Words,,,,,Pronunciation: KON-floo-unce; English: the place where the river begins to flow together; Bengali: নেীর বমলনস্থল / একত্র হওযার স্থান; Example: The town is located at the confluence of two rivers.,WordSmart1_Complete_850Words.pdf
confound,"GregMat Vocab: perplex or puzzle someone | Kaplan 900 + High Frequency GRE: Confuse | Magoosh GRE 1000 Words: (verb): be confusing or perplexing to Though Harry loved numbers, he found calculus confounding. ; (verb): mistake one thing for another Americans often confound sweet potatoes with yams, and refer to both vegetables by the same name.",GregMat Vocab; Kaplan 900 + High Frequency GRE; Magoosh GRE 1000 Words,perplex or puzzle someone,,Confuse,"(verb): be confusing or perplexing to Though Harry loved numbers, he found calculus confounding. ; (verb): mistake one thing for another Americans often confound sweet potatoes with yams, and refer to both vegetables by the same name.",,GregMat Vocab.pdf; ilide.info-kaplan900wordsandhighfrequencywordsforgre-161002183222-pr_665600a44ee462b7b0437587eeab09c6.pdf; magoosh-gre-1000-words_oct01.pdf
congenial,"GregMat Vocab: 1. (of a person) likable and friendly, often due to shared interests 2. (of a thing) enjoyable because it aligns with one's tendencies | WordSmart I Complete 850 Words: Pronunciation: kun-JEE-nee-ul; English: pleasant; Bengali: মননারম / সুখ্কর; Example: He found the new office environment very congenial.",GregMat Vocab; WordSmart I Complete 850 Words,"1. (of a person) likable and friendly, often due to shared interests 2. (of a thing) enjoyable because it aligns with one's tendencies",,,,Pronunciation: kun-JEE-nee-ul; English: pleasant; Bengali: মননারম / সুখ্কর; Example: He found the new office environment very congenial.,GregMat Vocab.pdf; WordSmart1_Complete_850Words.pdf
congenital,WordSmart I Complete 850 Words: Pronunciation: kun-JEN-ih-tul; English: a trait or condition acquired at birth by nature; Bengali: জন্মগত / সহজাত; Example: He had a congenital heart defect.,WordSmart I Complete 850 Words,,,,,Pronunciation: kun-JEN-ih-tul; English: a trait or condition acquired at birth by nature; Bengali: জন্মগত / সহজাত; Example: He had a congenital heart defect.,WordSmart1_Complete_850Words.pdf
conjectural,GregMat Vocab: pertaining to a guess or inference made with limited data,GregMat Vocab,pertaining to a guess or inference made with limited data,,,,,GregMat Vocab.pdf
conjecture,"Barron's 1100 - First 20 Weeks: guess | WordSmart I Complete 850 Words: Pronunciation: kun-JEK-cher; English: to guess; Bengali: অনুমান করা / িারণা করা; Example: Without evidence, we can only conjecture about the cause.",Barron's 1100 - First 20 Weeks; WordSmart I Complete 850 Words,,guess,,,"Pronunciation: kun-JEK-cher; English: to guess; Bengali: অনুমান করা / িারণা করা; Example: Without evidence, we can only conjecture about the cause.",WordSmart1_Complete_850Words.pdf; ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
conjugal,"Barron's 1100 - First 20 Weeks: relating to marriage, connubial*",Barron's 1100 - First 20 Weeks,,"relating to marriage, connubial*",,,,ilide.info-barron-s-1100-words-first-20-weeks-pr_c3adc3a3c45e7454e0742ab1695ce4a5.pdf
conjure,WordSmart I Complete 850 Words: Pronunciation: KON-jer; English: to summon or bring into being as if by magic; Bengali: যােু কনর ছেনক আনা / সৃটষ্ট করা; Example: She conjured a brilliant solution seemingly out of thin air.,WordSmart I Complete 850 Words,,,,,Pronunciation: KON-jer; English: to summon or bring into being as if by magic; Bengali: যােু কনর ছেনক আনা / সৃটষ্ট করা; Example: She conjured a brilliant solution seemingly out of thin air.,WordSmart1_Complete_850Words.pdf
